Cowboys, 26, 6, 5, 15, 0, 8, 7, '12*', 27
Rabbitohs, 25, 11, 7, 7, 1, 8, '12*', 19, 26
Sharks, 24, 12, 5, 7, 2, 8, 13, '18*', 25
Knights, 21, 3, 14, 4, 5, 7, 4, '18*', 22
Tigers, 22, 11, 3, 8, 4, 7, '12*', '15*', 23
Raiders, 23, 14, 4, 5, 3, 7, '15*', 19, 24
SeaEagle, 18, 8, 7, 3,  8, 6, 9, 16, 19
Broncos, 19, 11, 3, 5, 7, 6, '12*', '15*', 20
Dolphins, 20, 12, 5, 3, 6, 6, 13, '18*', 21
Titans, 17, 0, 11, 6, 9, 5, 1, '12*', '18*'
Dragons, 15, 2, 9, 4,  11, 5, 3, '12*', 16
Warriors, 17, 4, 10, 3, 9, 5, 5, '15*', '18*'
Bulldogs, 15, 5, 7, 3, 11, 5, 6, 13, 16
Eels, 17, 7, 7, 3, 9, 5, 8, '15*', '18*'
Roosters, 16, 9, 4, 3,  10, 5, 10, 14, 17
Panthers, 17, 10, 4, 3, 9, 5, 11, '15*', '18*'
Storm, 14, 1, 10, 3, 12, 4, 2, '12*', '15*'